Name "YT Scope Project" 
File "H:\mscthesisgeert\MScThesisTemplate\Code\AGC_functions\dSPACE_TwinCAT_recordings\NoiseMeas0V_2.csv" 
"Starttime of export" 133014769934170000 "dinsdag 5 juli 2022" 08:43:13.417 
"Endtime of export" 133014770241547049 "dinsdag 5 juli 2022" 08:43:44.154 


Name AI_df1 AI_df2 AI_dPtie1

6810 -5 -2 -13
6820 -3 0 -12
6830 -4 -2 -13
6840 -5 -3 -14
6850 -4 0 -15
6860 -4 -3 -13
6870 -4 -3 -14
6880 -4 -2 -17
6890 -4 -2 -15
6900 -5 0 -14
6910 -4 -2 -14
6920 -4 -3 -17
6930 -4 -4 -15
6940 -3 -3 -13
6950 -4 -3 -13
6960 -4 -4 -15
6970 -4 -4 -17
6980 -3 -4 -13
6990 -3 -3 -12
7000 -5 -4 -13
7010 -4 -3 -14
7020 -5 -3 -13
7030 -5 -3 -12
7040 -4 -2 -14
7050 -4 0 -15
7060 -3 -2 -13
7070 -2 -5 -13
7080 -4 -3 -12
7090 -4 0 -12
7100 -4 -3 -13
7110 -4 -2 -13
7120 -4 0 -13
7130 -4 -2 -13
7140 -4 -3 -13
7150 -3 -3 -15
7160 -4 -3 -15
7170 -5 -2 -14
7180 -6 0 -15
7190 -5 -3 -15
7200 -4 -3 -14
7210 -3 0 -14
7220 -2 -2 -14
7230 -4 -2 -12
7240 -3 0 -13
7250 -3 -2 -15
7260 -5 -4 -17
7270 -4 -5 -15
7280 -2 -3 -14
7290 -2 -4 -15
7300 -4 -3 -14
7310 -3 1 -13
7320 -3 2 -14
7330 -5 1 -15
7340 -4 0 -13
7350 -4 -2 -13
7360 -5 0 -15
7370 -4 0 -14
7380 -2 -2 -14
7390 -2 -2 -17
7400 -4 -3 -15
7410 -4 -4 -14
7420 -4 -2 -14
7430 -3 1 -14
7440 -3 -3 -13
7450 -4 -4 -12
7460 -5 -3 -15
7470 -5 -2 -15
7480 -4 1 -13
7490 -5 -3 -14
7500 -7 -6 -15
7510 -7 -2 -15
7520 -4 1 -14
7530 -3 2 -13
7540 -3 1 -14
7550 -2 -2 -15
7560 -3 -4 -14
7570 -4 -3 -14
7580 -3 -2 -14
7590 -3 -4 -15
7600 -4 -2 -17
7610 -3 -2 -14
7620 -2 -4 -14
7630 -5 -5 -15
7640 -5 -4 -14
7650 -4 -3 -17
7660 -4 -3 -15
7670 -3 0 -15
7680 -2 -3 -15
7690 -3 -2 -13
7700 -4 1 -14
7710 -4 -2 -17
7720 -4 -3 -15
7730 -3 -2 -15
7740 -2 -2 -18
7750 -3 0 -15
7760 -4 -3 -13
7770 -4 -4 -14
7780 -2 -2 -13
7790 -3 -3 -12
7800 -5 -2 -13
7810 -5 0 -13
7820 -5 -3 -13
7830 -4 -3 -13
7840 -5 -3 -14
7850 -6 -2 -14
7860 -5 0 -13
