Name	YT Scope Project	
File	H:\mscthesisgeert\MScThesisTemplate\Code\AGC_functions\dSPACE_TwinCAT_recordings\NoiseMeas0V.csv	
Starttime of export	133014769934170000	dinsdag 5 juli 2022	08:43:13.417
Endtime of export	133014770253842131	dinsdag 5 juli 2022	08:43:45.384


Name	AI_df1	Name	AI_df2	Name	AI_dPtie1
SymbolComment	frequency area 1	SymbolComment	frequency area 2	SymbolComment	tie-line power flow
Data-Type	INT16	Data-Type	INT16	Data-Type	INT16
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	2	VariableSize	2	VariableSize	2
SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	61472	IndexGroup	61472	IndexGroup	61472
IndexOffset	385000	IndexOffset	385002	IndexOffset	385004
SymbolName	MAIN.AI_df1	SymbolName	MAIN.AI_df2	SymbolName	MAIN.AI_dPtie1
NetID	172.18.237.162.1.1	NetID	172.18.237.162.1.1	NetID	172.18.237.162.1.1
Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0

2630	-3	2630	0	2630	-14
2640	-3	2640	-2	2640	-13
2650	-3	2650	0	2650	-12
2660	-3	2660	1	2660	-12
2670	-3	2670	-2	2670	-15
2680	-3	2680	-3	2680	-15
2690	-4	2690	-3	2690	-12
2700	-5	2700	-3	2700	-13
2710	-4	2710	-3	2710	-15
2720	-4	2720	-2	2720	-15
2730	-4	2730	-2	2730	-14
2740	-4	2740	-3	2740	-15
2750	-4	2750	-2	2750	-15
2760	-4	2760	-3	2760	-14
2770	-4	2770	-2	2770	-15
2780	-4	2780	0	2780	-14
2790	-4	2790	0	2790	-15
2800	-4	2800	0	2800	-17
2810	-5	2810	-4	2810	-17
2820	-5	2820	-4	2820	-17
2830	-4	2830	-3	2830	-17
2840	-3	2840	-3	2840	-15
2850	-3	2850	-2	2850	-14
2860	-3	2860	0	2860	-14
2870	-4	2870	0	2870	-14
2880	-3	2880	-2	2880	-15
2890	-4	2890	-3	2890	-14
2900	-3	2900	-4	2900	-11
2910	-2	2910	-4	2910	-12
2920	-4	2920	-5	2920	-14
2930	-2	2930	-2	2930	-14
2940	0	2940	0	2940	-12
2950	-2	2950	-3	2950	-13
2960	-3	2960	-4	2960	-15
2970	-4	2970	-4	2970	-14
2980	-4	2980	-4	2980	-14
2990	-4	2990	-3	2990	-14
3000	-3	3000	-2	3000	-13
3010	-3	3010	-3	3010	-13
3020	-3	3020	-3	3020	-15
3030	-4	3030	0	3030	-15
3040	-4	3040	-2	3040	-13
3050	-4	3050	-2	3050	-13
3060	-4	3060	-2	3060	-14
3070	-4	3070	-5	3070	-15
3080	-3	3080	-5	3080	-13
3090	-3	3090	-4	3090	-12
3100	-4	3100	-4	3100	-12
3110	-4	3110	-4	3110	-13
3120	-4	3120	-5	3120	-15
3130	-5	3130	-4	3130	-14
3140	-4	3140	0	3140	-13
3150	-4	3150	-3	3150	-13
3160	-3	3160	-5	3160	-14
3170	-2	3170	-4	3170	-15
3180	-4	3180	-2	3180	-13
3190	-4	3190	0	3190	-13
3200	-4	3200	0	3200	-14
3210	-5	3210	-2	3210	-15
3220	-6	3220	-3	3220	-17
3230	-5	3230	-2	3230	-17
3240	-5	3240	-3	3240	-15
3250	-4	3250	-4	3250	-14
3260	-4	3260	-3	3260	-15
3270	-5	3270	-2	3270	-17
3280	-5	3280	0	3280	-15
3290	-2	3290	0	3290	-14
3300	-3	3300	-2	3300	-13
3310	-4	3310	-4	3310	-14
3320	-2	3320	-3	3320	-12
3330	0	3330	1	3330	-11
3340	-2	3340	-2	3340	-13
3350	-5	3350	-4	3350	-14
3360	-4	3360	-4	3360	-14
3370	-3	3370	-4	3370	-15
3380	-4	3380	-4	3380	-15
3390	-4	3390	-4	3390	-14
3400	-3	3400	-5	3400	-14
3410	-4	3410	-4	3410	-13
3420	-3	3420	-3	3420	-12
3430	-3	3430	0	3430	-13
3440	-3	3440	2	3440	-15
3450	-4	3450	-2	3450	-13
3460	-4	3460	-3	3460	-15
3470	-4	3470	-3	3470	-17
3480	-4	3480	-2	3480	-13
3490	-4	3490	-2	3490	-14
3500	-5	3500	-3	3500	-15
3510	-5	3510	-3	3510	-15
3520	-2	3520	-2	3520	-15
3530	0	3530	1	3530	-17
3540	-3	3540	-2	3540	-14
3550	-4	3550	-3	3550	-11
3560	-4	3560	0	3560	-13
3570	-4	3570	-3	3570	-13
3580	-2	3580	-2	3580	-12
3590	-2	3590	1	3590	-13
3600	-4	3600	0	3600	-14
3610	-5	3610	0	3610	-15
3620	-4	3620	-2	3620	-14
3630	-5	3630	-4	3630	-14
3640	-5	3640	-6	3640	-15
3650	-5	3650	-6	3650	-14
3660	-4	3660	-2	3660	-14
3670	-3	3670	2	3670	-13
3680	-5	3680	0	3680	-13
3690	-5	3690	-4	3690	-13
3700	-4	3700	-2	3700	-14
3710	-4	3710	-3	3710	-13
3720	-5	3720	-4	3720	-11
3730	-5	3730	-4	3730	-14
3740	-3	3740	-3	3740	-14
3750	-2	3750	-3	3750	-14
3760	-2	3760	-3	3760	-12
3770	-2	3770	-4	3770	-12
3780	-3	3780	-4	3780	-14
3790	-4	3790	-4	3790	-14
3800	-4	3800	-4	3800	-14
3810	-4	3810	-2	3810	-17
3820	-5	3820	-2	3820	-18
3830	-4	3830	-2	3830	-17
3840	-5	3840	-2	3840	-14
3850	-5	3850	-2	3850	-13
3860	-3	3860	-2	3860	-17
3870	-3	3870	0	3870	-17
3880	-3	3880	0	3880	-14
3890	-3	3890	1	3890	-14
3900	-4	3900	0	3900	-13
3910	-5	3910	-4	3910	-13
3920	-4	3920	-4	3920	-14
3930	-3	3930	-2	3930	-14
3940	-3	3940	-2	3940	-12
3950	-3	3950	-3	3950	-12
3960	-3	3960	-3	3960	-15
