Name "YT Scope Project" 
File "H:\mscthesisgeert\MScThesisTemplate\Code\AGC_functions\dSPACE_TwinCAT_recordings\ScalingNoWM_meas.csv" 
"Starttime of export" 133020893269090000 "dinsdag 12 juli 2022" 10:48:46.909 
"Endtime of export" 133020898800590000 "dinsdag 12 juli 2022" 10:58:00.059 


Name y_r1[0] y_r1[1] y_r2[0] TriggerCA y_q[0] y_q[1] y_q[2] u_c[0] u_c[1]
1860 0.2803192 3.34088135 0.9067993 1 -182 -181 975 0 0
1870 0.556152344 1.63110352 0.6530762 1 -181 -181 976 0 0
1880 0.8830719 1.14770508 0.384765625 1 -181 -180 975 0 0
1890 1.33052063 4.583374 2.33151245 1 -180 -177 977 0 0
1900 0.626800537 0.530456543 2.92893982 1 -179 -177 977 0 0
1910 3.20214844 2.050354 1.52233887 1 -182 -180 975 0 0
1920 0.6726227 0.2043457 0.2566681 1 -184 -181 973 0 0
1930 0.0191345215 3.86920166 1.03811646 1 -184 -180 973 0 0
1940 1.38696289 0.201477051 0.9241333 1 -183 -180 973 0 0
1950 1.91583252 5.479126 0.6299896 1 -180 -180 975 0 0
1960 3.24533081 0.338134766 1.62141418 1 -181 -181 976 0 0
1970 0.232650757 0.07946777 2.41903687 1 -183 -180 972 0 0
1980 1.03938293 1.73303223 2.13150024 1 -184 -180 970 0 0
1990 0.143951416 8.123413 1.51287842 1 -185 -180 976 0 0
2000 2.31459045 1.60668945 3.61135864 1 -183 -175 978 0 0
2010 0.9847717 4.10467529 3.31236267 1 -180 -174 977 0 0
2020 1.35346985 2.10266113 0.25642395 1 -177 -175 975 0 0
2030 5.481247 5.418579 4.076767 1 -180 -178 975 0 0
2040 0.9454651 1.28137207 0.3031311 1 -183 -181 975 0 0
2050 0.559524536 6.81646729 0.507614136 1 -182 -181 977 0 0
2060 0.469299316 2.494934 0.849212646 1 -182 -182 977 0 0
2070 2.67466736 5.88501 3.32618713 1 -185 -180 977 0 0
2080 4.75575256 0.590515137 0.6913147 1 -183 -178 978 0 0
2090 0.820327759 4.19171143 2.008194 1 -180 -180 978 0 0
2100 3.08699036 0.1798706 1.63153076 1 -183 -180 978 0 0
2110 3.54370117 2.82244873 1.32434082 1 -182 -180 977 0 0
2120 2.04362488 1.0980835 0.00582885742 1 -181 -181 977 0 0
2130 0.204208374 0.627319336 0.16418457 1 -182 -181 975 0 0
2140 1.30361938 0.9259033 0.9584656 1 -183 -180 971 0 0
