Name "YT Scope Project" 
File "H:\mscthesisgeert\MScThesisTemplate\Code\AGC_functions\dSPACE_TwinCAT_recordings\Scope Project.csv" 
"Starttime of export" 133020853977090000 "dinsdag 12 juli 2022" 09:43:17.709 
"Endtime of export" 133020859536590000 "dinsdag 12 juli 2022" 09:52:33.659 


Name y_r1[0] y_r1[1] y_r2[0] TriggerCA y_q[0] y_q[1] y_q[2] u_c[0] u_c[1]
1990 4.448578 3.090088 1.46060181 1 -177 -178 976 0 0
2000 0.478591919 3.251587 1.16850281 1 -180 -180 972 0 0
2010 0.766464233 3.52496338 1.13116455 1 -181 -180 969 0 0
2020 1.694809 2.44836426 1.78874207 1 -180 -181 971 0 0
2030 2.43971252 1.39459229 4.737503 1 -176 -178 971 0 0
2040 1.0703125 2.25396729 4.33699036 1 -174 -178 971 0 0
2050 1.51586914 3.43774414 0.0065612793 1 -175 -181 973 0 0
2060 0.6659851 2.3972168 3.34916687 1 -176 -178 975 0 0
2070 0.0428771973 1.357666 1.18612671 1 -176 -176 975 0 0
2080 6.447159 0.294006348 1.01803589 1 -182 -175 973 0 0
2090 5.192734 5.385437 3.82707214 1 -183 -177 975 0 0
2100 1.14732361 0.176452637 1.742279 1 -181 -178 976 0 0
2110 0.210632324 3.78173828 1.42501831 1 -182 -178 976 0 0
2120 2.25479126 2.75927734 0.915786743 1 -180 -180 973 0 0
2130 2.03417969 5.081909 0.14994812 1 -176 -181 972 0 0
2140 3.71530151 0.0643310547 1.57946777 1 -177 -183 973 0 0
2150 0.6858063 2.59118652 3.14706421 1 -180 -182 972 0 0
2160 0.308364868 1.26940918 1.88102722 1 -181 -178 972 0 0
2170 2.55503845 3.48065186 0.234176636 1 -179 -176 973 0 0
2180 1.69841 0.445068359 1.91941833 1 -175 -177 973 0 0
2190 4.519104 2.08807373 2.11642456 1 -177 -180 972 0 0
2200 0.134262085 0.6557007 1.89631653 1 -180 -180 971 0 0
2210 0.8235779 4.01275635 0.6030884 1 -181 -178 972 0 0
2220 1.92379761 0.0127563477 2.92355347 1 -184 -180 972 0 0
2230 3.52392578 3.67828369 2.45581055 1 -183 -180 972 0 0
2240 0.316513062 1.3548584 1.08961487 1 -181 -177 973 0 0
2250 1.85481262 0.399597168 4.61558533 1 -183 -180 971 0 0
2260 4.82391357 5.30365 3.82113647 1 -180 -180 973 0 0
2270 1.32891846 4.82244873 0.9905548 1 -177 -178 979 0 0
